NOM_USUEL;AAAAMM;RR;RR_ME;UMM;INST;TM
NICE;195001;36.5;;;8046.0;8.3
NICE;195002;129.1;;;9072.0;10.2
NICE;195003;39.6;;;14118.0;11.5
NICE;195004;110.7;;78.0;14508.0;11.9
NICE;195005;30.5;;;17994.0;17.4
NICE;195006;12.6;;;21018.0;21.4
NICE;195007;0.6;;;22506.0;24.3
NICE;195008;48.4;;;17484.0;22.8
NICE;195009;37.8;;;16272.0;19.9
NICE;195010;47.2;;;12810.0;16.4
NICE;195011;97.1;;;10416.0;12.4
NICE;195012;74.2;;;6336.0;7.5
NICE;195101;141.4;;;8556.0;8.9
NICE;195102;153.0;;;9228.0;9.5
NICE;195103;101.9;;;11874.0;9.9
NICE;195104;37.7;;75.0;16242.0;12.7
NICE;195105;122.9;;;11886.0;14.9
NICE;195106;30.3;;;20208.0;19.3
NICE;195107;14.3;;;22068.0;21.9
NICE;195108;2.9;;;19824.0;22.2
NICE;195109;21.5;;;15726.0;22.1
NICE;195110;188.7;;;8592.0;15.7
NICE;195111;300.1;;;9636.0;13.2
NICE;195112;34.6;;;10146.0;9.7
NICE;195201;53.1;;;10098.0;7.7
NICE;195202;17.8;;;13548.0;8.5
NICE;195203;34.2;;;11088.0;10.8
NICE;195204;169.0;;;14046.0;14.4
NICE;195205;81.0;;;16734.0;16.7
NICE;195206;3.5;;84.0;21276.0;21.4
NICE;195207;2.5;;;22998.0;24.8
NICE;195208;59.7;;;20328.0;22.8
NICE;195209;110.7;;;16530.0;18.7
NICE;195210;65.1;;;12774.0;15.8
NICE;195211;99.6;;;9120.0;10.7
NICE;195212;72.4;;75.0;6732.0;9.1
NICE;195301;20.1;;;11052.0;7.2
NICE;195302;25.8;;;10590.0;8.0
NICE;195303;1.0;;;15126.0;10.8
NICE;195304;30.3;;;14382.0;13.8
NICE;195305;23.7;;;18060.0;17.9
NICE;195306;71.1;;;13338.0;18.7
NICE;195307;90.8;;;20196.0;22.5
NICE;195308;65.1;;;19110.0;22.4
NICE;195309;170.7;;;14124.0;20.6
NICE;195310;252.8;;;9636.0;17.7
NICE;195311;7.9;;73.0;11094.0;12.9
NICE;195312;52.7;;;6264.0;12.0
NICE;195401;28.8;;;9174.0;6.8
NICE;195402;65.2;;74.0;6672.0;8.1
NICE;195403;69.0;;74.0;12372.0;11.3
NICE;195404;48.4;;76.0;12546.0;12.7
NICE;195405;68.9;;80.0;16470.0;16.2
NICE;195406;10.2;;76.0;18168.0;20.4
NICE;195407;66.8;;72.0;22032.0;21.0
NICE;195408;30.4;;74.0;19650.0;20.8
NICE;195409;19.6;;77.0;16968.0;20.5
NICE;195410;96.6;;79.0;13608.0;15.7
NICE;195411;98.1;;77.0;8250.0;12.7
NICE;195412;118.8;;72.0;10890.0;10.9
NICE;195501;137.0;;75.0;6474.0;10.8
NICE;195502;102.3;;70.0;8484.0;9.4
NICE;195503;26.3;;71.0;14262.0;10.0
NICE;195504;2.5;;70.0;18714.0;13.6
NICE;195505;2.9;;66.0;19980.0;16.9
NICE;195506;80.0;;75.0;19038.0;19.7
NICE;195507;25.1;;77.0;21276.0;23.0
NICE;195508;4.1;;85.0;18876.0;22.6
NICE;195509;46.6;;72.0;17772.0;20.7
NICE;195510;113.0;;65.0;13542.0;16.2
NICE;195511;98.8;;68.0;9306.0;11.9
NICE;195512;54.9;;74.0;8352.0;10.9
NICE;195601;79.0;;78.0;7974.0;9.2
NICE;195602;56.4;;66.0;8490.0;4.2
NICE;195603;194.5;;76.0;8154.0;10.0
NICE;195604;138.0;;76.0;13854.0;12.0
NICE;195605;7.1;;69.0;19044.0;17.0
NICE;195606;30.5;;74.0;20124.0;18.7
NICE;195607;29.0;;78.0;22734.0;21.7
NICE;195608;6.9;;73.0;19968.0;23.0
NICE;195609;150.6;;75.0;15834.0;20.4
NICE;195610;27.8;;72.0;14556.0;15.6
NICE;195611;123.8;;73.0;8010.0;10.8
NICE;195612;64.8;;70.0;8514.0;9.0
NICE;195701;26.7;;66.0;10650.0;8.0
NICE;195702;119.9;;73.0;8472.0;10.6
NICE;195703;43.9;;78.0;10446.0;12.0
NICE;195704;80.4;;73.0;11892.0;13.5
NICE;195705;50.0;;77.0;16068.0;15.3
NICE;195706;84.5;;80.0;16560.0;19.4
NICE;195707;3.3;;70.0;23376.0;22.4
NICE;195708;52.0;;78.0;19128.0;21.8
NICE;195709;1.6;;77.0;16524.0;19.2
NICE;195710;52.8;;71.0;13278.0;16.9
NICE;195711;317.4;;78.0;8526.0;13.0
NICE;195712;250.5;;69.0;8700.0;9.8
NICE;195801;19.2;;67.0;11064.0;8.6
NICE;195802;46.5;;77.0;10236.0;9.7
NICE;195803;100.4;;67.0;10830.0;9.1
NICE;195804;118.7;;73.0;13416.0;11.4
NICE;195805;12.7;;74.0;17208.0;16.8
NICE;195806;44.0;;71.0;17718.0;18.9
NICE;195807;44.7;;77.0;21498.0;21.4
NICE;195808;27.5;;75.0;21144.0;22.2
NICE;195809;54.7;;73.0;16566.0;21.1
NICE;195810;77.5;;69.0;13908.0;16.6
NICE;195811;73.8;;76.0;6876.0;13.3
NICE;195812;270.3;;77.0;7764.0;9.4
NICE;195901;2.1;;58.0;11634.0;8.9
NICE;195902;21.8;;65.0;11988.0;10.2
NICE;195903;78.8;;77.0;11196.0;12.1
NICE;195904;119.9;;72.0;14484.0;13.1
NICE;195905;87.9;;75.0;16074.0;16.5
NICE;195906;8.4;;72.0;19770.0;20.2
NICE;195907;0.0;;70.0;22404.0;23.2
NICE;195908;26.4;;72.0;17520.0;22.5
NICE;195909;211.1;;75.0;12168.0;20.0
NICE;195910;215.5;;72.0;12690.0;15.8
NICE;195911;245.0;;70.0;9078.0;11.5
NICE;195912;193.5;;70.0;8538.0;9.8
NICE;196001;81.0;;;7008.0;8.4
NICE;196002;84.1;;70.0;9498.0;9.4
NICE;196003;146.3;;;11094.0;11.0
NICE;196004;42.7;;;13452.0;13.2
NICE;196005;29.1;;;18390.0;16.5
NICE;196006;8.7;;72.0;20826.0;20.9
NICE;196007;7.7;;;20982.0;21.5
NICE;196008;48.2;;76.0;21444.0;20.8
NICE;196009;174.9;;;14934.0;18.4
NICE;196010;279.1;;75.0;10734.0;15.0
NICE;196011;151.5;;76.0;8586.0;12.1
NICE;196012;148.5;;68.0;7752.0;8.9
NICE;196101;116.5;;;7098.0;8.1
NICE;196102;9.3;;;13572.0;10.8
NICE;196103;0.0;;69.0;18648.0;11.6
NICE;196104;118.2;;;14034.0;14.7
NICE;196105;41.8;;;17460.0;15.9
NICE;196106;27.7;;77.0;20070.0;19.8
NICE;196107;6.4;;;21888.0;22.4
NICE;196108;0.5;;;20550.0;22.6
NICE;196109;79.2;;73.0;16608.0;22.2
NICE;196110;135.5;;;11832.0;17.2
NICE;196111;277.4;;;8070.0;11.7
NICE;196112;32.8;;70.0;7494.0;9.5
NICE;196201;38.7;;;9354.0;10.0
NICE;196202;50.1;;62.0;10128.0;8.5
NICE;196203;98.5;;70.0;11334.0;9.0
NICE;196204;53.9;;;14694.0;13.4
NICE;196205;36.9;;77.0;17982.0;15.0
NICE;196206;30.8;;;17472.0;19.3
NICE;196207;1.1;;;21984.0;22.1
NICE;196208;0.0;;;20262.0;22.9
NICE;196209;16.9;;;15072.0;20.4
NICE;196210;79.9;;;12198.0;17.0
NICE;196211;168.6;;;7218.0;11.1
NICE;196212;86.8;;61.0;9420.0;7.5
NICE;196301;114.3;;;7338.0;5.9
NICE;196302;72.3;;;6978.0;6.7
NICE;196303;63.5;;;12648.0;10.3
NICE;196304;87.4;;77.0;13602.0;12.9
NICE;196305;5.7;;74.0;18438.0;16.9
NICE;196306;65.2;;;17712.0;19.0
NICE;196307;6.6;;71.0;20280.0;23.6
NICE;196308;60.3;;;17742.0;21.7
NICE;196309;71.1;;;11148.0;19.6
NICE;196310;53.7;;;13038.0;16.6
NICE;196311;222.3;;74.0;7230.0;13.5
NICE;196312;72.7;;69.0;5898.0;8.8
NICE;196401;11.2;;68.0;10422.0;8.4
NICE;196402;230.5;;73.0;7380.0;9.3
NICE;196403;114.0;;78.0;9114.0;10.9
NICE;196404;56.7;;;14994.0;13.3
NICE;196405;6.0;;76.0;17424.0;17.5
NICE;196406;33.8;;73.0;17976.0;21.3
NICE;196407;1.0;;70.0;20604.0;23.8
NICE;196408;17.6;;;20016.0;23.0
